Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-June-2017,260.00,260.75,256.50,258.75,258.186631340089218947,155124,1423,40050943.00,66374,42.79,4.25,-1.25
29-June-2017,259.00,260.80,256.05,259.25,258.710930161840727100,147985,1868,38285337.00,46639,31.52,4.75,0.25
28-June-2017,257.00,259.90,254.20,258.40,257.262375041932237504,149050,1361,38344957.00,58483,39.24,5.70,1.40
27-June-2017,256.85,257.70,253.40,256.00,255.467269595176571920,150930,1362,38557675.00,42961,28.46,4.30,-0.85
23-June-2017,255.00,259.90,253.15,256.85,257.025200852598786686,243960,3158,62703868.00,98400,40.33,6.75,1.85
22-June-2017,256.00,258.80,253.35,254.65,255.654526795716445621,127651,1370,32634556.00,34907,27.35,5.45,-1.35
21-June-2017,254.10,257.00,252.10,255.90,254.147622531089978054,266565,2031,67746861.00,119466,44.82,4.90,1.80
20-June-2017,256.00,257.25,253.15,254.05,254.440855714188745842,176788,1657,44982090.00,31078,17.58,4.10,-1.95
19-June-2017,256.90,257.50,253.55,254.35,254.871606684941197276,158326,1592,40352802.00,63746,40.26,3.95,-2.55
16-June-2017,261.00,263.00,253.10,254.95,255.689544267509670325,254645,3232,65110064.00,57036,22.40,9.90,-6.05
15-June-2017,260.05,262.00,255.20,260.80,258.816613201127636823,329184,4432,85198288.00,67326,20.45,6.80,0.75
14-June-2017,261.00,261.30,252.45,256.05,255.301608205307379871,297661,2686,75993332.00,57013,19.15,8.85,-4.95
13-June-2017,261.80,266.70,257.00,259.35,261.538250109840705432,293607,4169,76789461.00,79566,27.10,9.70,-2.45
12-June-2017,540.00,540.00,520.25,526.30,526.036545845701369788,183605,3168,96582940.00,52720,28.71,19.75,-13.70
9-June-2017,541.00,543.50,531.30,536.75,537.331626916412026932,226791,3275,121861977.00,96481,42.54,12.20,-4.25
8-June-2017,550.90,552.75,542.30,545.55,545.818796127671810600,104330,1697,56945275.00,37155,35.61,10.45,-5.35
7-June-2017,560.00,562.00,536.00,548.85,551.782435512336516322,427795,4004,236049767.00,267636,62.56,26.00,-11.15
6-June-2017,555.00,567.85,552.30,560.65,562.464446595658837518,750997,4421,422409112.00,585124,77.91,15.55,5.65
5-June-2017,551.90,558.00,546.70,555.60,551.542367703976257007,576170,2489,317782166.00,466800,81.02,11.30,3.70
2-June-2017,544.40,554.00,540.65,551.95,547.306837346575470814,85384,1712,46731247.00,35273,41.31,13.35,7.55
1-June-2017,537.90,544.90,534.75,541.75,540.882570422535211267,62480,1404,33794343.00,24127,38.62,10.15,3.85
